latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.919155,-5.498749,526.0,0,GMT,GMT

time,temperature_2m_mean (°C),precipitation_sum (mm),et0_fao_evapotranspiration (mm),soil_moisture_0_to_100cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (m³/m³)
1990-08-18,28.8,0.00,6.28,0.294,0.268
1990-08-19,26.1,0.00,5.28,0.294,0.267
1990-08-20,24.1,0.00,4.72,0.293,0.267
1990-08-21,23.3,0.00,5.13,0.293,0.267
1990-08-22,23.1,0.00,5.28,0.293,0.266
1990-08-23,24.8,0.00,5.61,0.292,0.266
1990-08-24,26.6,0.00,5.52,0.292,0.266
1990-08-25,26.7,0.00,5.75,0.292,0.265
1990-08-26,26.1,0.00,5.86,0.292,0.265
1990-08-27,27.4,0.00,5.95,0.291,0.265
1990-08-28,27.8,0.00,6.36,0.291,0.265
1990-08-29,23.9,0.00,5.24,0.290,0.264
1990-08-30,22.4,0.00,5.08,0.290,0.264
1990-08-31,22.6,0.00,4.39,0.290,0.265
1990-09-01,22.9,0.00,4.91,0.290,0.265
1990-09-02,23.0,0.00,4.75,0.289,0.264
1990-09-03,22.3,5.50,3.23,0.293,0.321
1990-09-04,24.0,0.00,4.40,0.293,0.320
1990-09-05,24.2,0.00,4.15,0.293,0.313
1990-09-06,23.8,0.00,4.20,0.292,0.306
1990-09-07,22.2,0.20,4.41,0.291,0.302
1990-09-08,19.7,4.90,2.38,0.293,0.330
1990-09-09,21.5,0.00,4.61,0.294,0.337
1990-09-10,24.1,0.00,4.52,0.293,0.326
1990-09-11,25.4,1.30,4.42,0.292,0.322
1990-09-12,25.0,0.00,4.63,0.292,0.322
1990-09-13,24.5,0.00,4.40,0.292,0.313
1990-09-14,24.9,0.00,4.55,0.291,0.306
1990-09-15,26.2,0.00,4.39,0.290,0.299
1990-09-16,25.6,0.90,4.30,0.290,0.299
1990-09-17,22.5,0.00,3.62,0.290,0.302
1990-09-18,23.6,0.00,3.44,0.290,0.298
1990-09-19,22.2,0.00,3.71,0.290,0.298
1990-09-20,22.5,0.00,4.32,0.289,0.295
1990-09-21,23.8,1.70,4.04,0.289,0.300
1990-09-22,24.9,0.00,4.86,0.290,0.311
1990-09-23,22.6,0.00,3.74,0.290,0.304
1990-09-24,21.8,0.80,2.20,0.289,0.301
1990-09-25,20.8,5.50,3.32,0.291,0.330
1990-09-26,22.9,0.30,3.94,0.294,0.358
1990-09-27,26.8,0.00,4.40,0.293,0.345
1990-09-28,27.5,0.00,4.37,0.291,0.333
1990-09-29,27.6,0.00,5.24,0.290,0.321
1990-09-30,23.8,0.40,3.80,0.290,0.314
1990-10-01,22.5,9.40,3.74,0.291,0.322
1990-10-02,20.2,1.80,3.55,0.297,0.407
1990-10-03,19.0,0.00,3.73,0.296,0.383
1990-10-04,17.9,0.00,2.56,0.295,0.368
1990-10-05,19.4,0.00,3.89,0.294,0.356
1990-10-06,20.9,0.00,3.91,0.293,0.343
