latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
33.56766,-7.5836487,23.0,0,GMT,GMT

time,temperature_2m_mean (°C),precipitation_sum (mm),et0_fao_evapotranspiration (mm),soil_moisture_0_to_100cm_mean (m³/m³),soil_moisture_0_to_7cm_mean (m³/m³)
1990-09-13,23.6,0.00,4.34,0.158,0.134
1990-09-14,24.9,0.00,4.81,0.157,0.134
1990-09-15,24.4,0.00,4.16,0.157,0.134
1990-09-16,23.6,0.00,4.00,0.157,0.135
1990-09-17,23.0,0.00,4.15,0.157,0.135
1990-09-18,23.4,0.30,3.29,0.157,0.135
1990-09-19,22.8,0.10,3.00,0.157,0.144
1990-09-20,23.0,0.00,4.23,0.157,0.142
1990-09-21,23.6,0.00,4.27,0.157,0.141
1990-09-22,23.7,0.00,4.31,0.157,0.139
1990-09-23,22.8,0.00,3.60,0.157,0.138
1990-09-24,23.0,0.10,3.03,0.156,0.138
1990-09-25,22.0,2.30,3.44,0.158,0.165
1990-09-26,22.9,0.00,3.97,0.158,0.163
1990-09-27,26.3,0.00,3.73,0.158,0.158
1990-09-28,26.6,0.00,5.00,0.157,0.152
1990-09-29,24.1,0.00,3.86,0.157,0.149
1990-09-30,23.3,0.00,3.71,0.157,0.146
1990-10-01,22.6,0.00,3.22,0.157,0.145
1990-10-02,21.8,0.00,3.86,0.156,0.143
1990-10-03,21.1,0.00,3.40,0.156,0.142
1990-10-04,20.3,0.40,2.95,0.156,0.144
1990-10-05,20.3,0.00,3.69,0.156,0.144
1990-10-06,21.6,0.00,3.85,0.156,0.142
1990-10-07,21.5,0.00,3.61,0.156,0.141
1990-10-08,20.4,0.00,3.46,0.156,0.140
1990-10-09,19.4,0.00,4.05,0.156,0.139
1990-10-10,19.2,0.00,3.66,0.156,0.138
1990-10-11,18.5,0.00,3.29,0.156,0.137
1990-10-12,19.6,0.90,2.80,0.155,0.140
1990-10-13,21.5,0.00,3.30,0.155,0.145
1990-10-14,23.6,0.10,4.18,0.155,0.143
1990-10-15,21.1,4.40,2.45,0.158,0.183
1990-10-16,20.2,0.00,3.31,0.159,0.190
1990-10-17,20.7,0.00,2.75,0.158,0.183
1990-10-18,21.3,1.00,2.76,0.158,0.185
1990-10-19,20.4,1.30,2.21,0.160,0.201
1990-10-20,20.0,0.00,2.82,0.160,0.199
1990-10-21,19.6,1.00,2.31,0.160,0.205
1990-10-22,18.1,13.00,2.48,0.171,0.330
1990-10-23,17.7,0.00,2.89,0.172,0.292
1990-10-24,18.0,0.00,2.71,0.171,0.266
1990-10-25,18.7,0.00,2.53,0.170,0.252
1990-10-26,17.2,0.00,2.65,0.169,0.238
1990-10-27,18.1,0.00,2.32,0.169,0.228
1990-10-28,18.6,0.00,2.78,0.168,0.220
1990-10-29,18.5,0.00,2.83,0.167,0.211
1990-10-30,19.1,0.00,2.17,0.167,0.204
1990-10-31,18.4,0.00,2.68,0.166,0.198
1990-11-01,18.7,0.50,1.99,0.166,0.199
1990-11-02,17.2,0.00,2.53,0.166,0.196
1990-11-03,16.2,0.00,2.08,0.165,0.191
1990-11-04,16.5,0.60,2.20,0.165,0.186
1990-11-05,16.3,0.00,2.51,0.164,0.182
1990-11-06,17.6,0.90,2.25,0.164,0.182
1990-11-07,19.8,1.50,2.27,0.165,0.190
1990-11-08,19.9,0.00,2.44,0.165,0.191
1990-11-09,19.3,0.20,2.28,0.164,0.188
1990-11-10,18.4,0.60,2.30,0.165,0.195
1990-11-11,17.5,0.00,2.74,0.164,0.191
1990-11-12,17.3,0.00,2.57,0.164,0.185
1990-11-13,17.2,0.00,2.64,0.163,0.180
1990-11-14,18.0,0.00,2.30,0.162,0.176
1990-11-15,18.2,0.00,2.38,0.162,0.172
1990-11-16,18.1,0.00,2.55,0.161,0.169
1990-11-17,18.6,0.00,3.42,0.161,0.166
1990-11-18,18.4,0.00,2.87,0.160,0.162
1990-11-19,16.4,0.00,2.24,0.160,0.159
1990-11-20,15.6,0.00,1.74,0.160,0.158
1990-11-21,16.0,2.80,1.54,0.160,0.162
1990-11-22,15.0,2.30,2.05,0.164,0.212
1990-11-23,13.3,0.00,1.83,0.163,0.208
1990-11-24,14.7,0.00,2.20,0.163,0.203
1990-11-25,15.9,8.60,1.62,0.166,0.239
1990-11-26,14.8,5.70,1.80,0.172,0.313
1990-11-27,13.7,0.50,1.81,0.173,0.293
1990-11-28,12.9,0.00,1.76,0.172,0.273
1990-11-29,13.2,0.00,1.79,0.172,0.258
1990-11-30,13.0,0.00,1.86,0.171,0.247
1990-12-01,14.0,0.00,2.03,0.171,0.236
1990-12-02,16.9,0.00,2.78,0.170,0.227
1990-12-03,18.0,0.00,2.01,0.169,0.217
1990-12-04,18.2,6.10,1.89,0.169,0.225
1990-12-05,17.7,4.40,1.22,0.175,0.296
1990-12-06,16.5,3.30,1.17,0.178,0.309
1990-12-07,16.0,0.00,1.56,0.178,0.293
1990-12-08,16.8,4.30,1.01,0.178,0.291
1990-12-09,14.6,12.00,1.60,0.192,0.371
1990-12-10,12.1,1.60,1.48,0.192,0.326
1990-12-11,12.1,3.80,1.24,0.193,0.327
1990-12-12,12.4,0.10,1.48,0.194,0.315
1990-12-13,11.8,0.00,1.78,0.193,0.301
1990-12-14,12.6,0.00,1.66,0.192,0.289
1990-12-15,12.5,0.00,1.64,0.191,0.281
1990-12-16,12.2,4.80,1.44,0.192,0.292
1990-12-17,13.5,1.90,1.61,0.195,0.321
1990-12-18,12.6,1.30,1.32,0.196,0.324
1990-12-19,12.2,5.20,1.40,0.198,0.335
1990-12-20,11.2,0.40,1.25,0.198,0.322
1990-12-21,12.4,0.00,1.68,0.198,0.309
1990-12-22,12.0,0.00,1.67,0.197,0.296
1990-12-23,12.4,0.00,1.42,0.196,0.289
1990-12-24,12.8,1.00,1.43,0.196,0.289
1990-12-25,12.0,0.20,1.20,0.196,0.289
1990-12-26,13.7,1.40,0.81,0.197,0.294
1990-12-27,13.8,0.00,1.67,0.197,0.297
1990-12-28,14.6,0.00,1.72,0.196,0.288
1990-12-29,13.6,0.00,1.65,0.196,0.279
1990-12-30,13.1,0.00,1.34,0.195,0.274
1990-12-31,14.6,0.00,1.60,0.195,0.269
1991-01-01,14.7,0.00,1.73,0.194,0.263
1991-01-02,13.6,0.00,1.57,0.193,0.258
1991-01-03,13.6,0.00,1.67,0.192,0.254
1991-01-04,14.4,0.20,1.53,0.192,0.253
1991-01-05,12.2,0.00,2.41,0.192,0.248
1991-01-06,10.9,0.00,1.95,0.190,0.241
1991-01-07,10.5,0.00,1.99,0.189,0.236
1991-01-08,11.8,0.00,1.95,0.189,0.231
1991-01-09,11.8,0.00,1.91,0.188,0.227
1991-01-10,12.0,0.00,2.01,0.187,0.223
1991-01-11,12.5,0.00,2.03,0.187,0.218
1991-01-12,11.8,0.90,1.32,0.187,0.225
1991-01-13,10.7,0.00,2.13,0.187,0.228
1991-01-14,10.2,0.00,1.66,0.186,0.223
1991-01-15,11.4,0.00,1.47,0.185,0.220
1991-01-16,10.4,0.00,1.93,0.185,0.216
1991-01-17,11.5,0.00,1.98,0.184,0.211
1991-01-18,12.5,0.00,2.11,0.183,0.207
1991-01-19,12.9,0.00,1.68,0.182,0.204
1991-01-20,12.6,0.00,1.71,0.182,0.201
1991-01-21,13.0,0.00,1.59,0.182,0.200
1991-01-22,12.6,0.00,2.04,0.181,0.198
1991-01-23,11.9,1.70,1.55,0.181,0.201
1991-01-24,11.1,1.60,1.59,0.182,0.217
1991-01-25,11.2,0.80,1.42,0.183,0.228
1991-01-26,11.4,0.00,1.90,0.182,0.230
1991-01-27,11.5,0.00,2.35,0.182,0.224
1991-01-28,11.6,0.00,2.16,0.181,0.216
1991-01-29,12.0,0.00,1.90,0.180,0.212
1991-01-30,12.5,0.00,2.19,0.180,0.207
1991-01-31,11.3,0.00,2.38,0.179,0.201
1991-02-01,12.1,3.10,2.22,0.179,0.201
1991-02-02,11.0,8.70,1.25,0.182,0.247
1991-02-03,11.3,4.70,1.80,0.185,0.289
1991-02-04,11.0,0.00,2.02,0.185,0.276
1991-02-05,11.2,0.00,2.31,0.184,0.260
1991-02-06,11.7,0.00,2.21,0.183,0.248
1991-02-07,12.6,6.10,1.07,0.185,0.268
1991-02-08,11.1,0.00,1.67,0.186,0.281
1991-02-09,10.9,0.00,2.10,0.186,0.267
1991-02-10,11.9,0.00,2.44,0.185,0.254
1991-02-11,11.8,0.00,2.06,0.184,0.245
1991-02-12,12.2,7.40,1.28,0.185,0.266
1991-02-13,13.7,3.90,1.99,0.194,0.346
1991-02-14,12.7,0.40,1.97,0.194,0.312
1991-02-15,11.3,0.00,2.69,0.193,0.292
1991-02-16,10.0,7.80,1.12,0.194,0.304
1991-02-17,10.8,17.30,1.79,0.200,0.353
1991-02-18,11.1,15.60,1.74,0.225,0.401
1991-02-19,11.1,21.20,1.44,0.241,0.418
1991-02-20,13.1,1.70,1.68,0.245,0.396
1991-02-21,12.4,0.30,1.85,0.245,0.380
