latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
31.599297,-7.976074,460.0,0,GMT,GMT

time,precipitation_sum (mm),et0_fao_evapotranspiration (mm),temperature_2m_mean (°C),soil_moisture_0_to_7cm_mean (m³/m³),soil_moisture_0_to_100cm_mean (m³/m³)
1990-12-13,0.00,1.94,8.2,0.266,0.174
1990-12-14,0.00,1.99,8.3,0.254,0.173
1990-12-15,0.00,1.74,7.8,0.244,0.172
1990-12-16,2.10,1.50,9.1,0.244,0.172
1990-12-17,0.10,1.28,8.3,0.257,0.174
1990-12-18,1.10,1.38,9.2,0.256,0.174
1990-12-19,7.70,1.41,8.9,0.306,0.178
1990-12-20,2.10,1.50,7.7,0.313,0.180
1990-12-21,0.00,1.47,7.1,0.293,0.179
1990-12-22,0.80,1.50,6.7,0.283,0.179
1990-12-23,0.30,1.40,8.0,0.291,0.180
1990-12-24,0.00,1.09,6.9,0.282,0.180
1990-12-25,0.00,1.86,7.4,0.270,0.179
1990-12-26,0.00,1.66,8.8,0.259,0.178
1990-12-27,0.00,1.78,10.6,0.250,0.177
1990-12-28,0.00,2.05,10.7,0.242,0.176
1990-12-29,0.00,2.12,11.8,0.234,0.175
1990-12-30,0.00,1.82,11.9,0.227,0.175
1990-12-31,0.00,1.93,12.9,0.221,0.174
1991-01-01,0.00,2.01,11.5,0.215,0.173
1991-01-02,0.00,1.99,12.0,0.210,0.173
1991-01-03,0.00,2.10,11.9,0.205,0.172
1991-01-04,0.00,1.66,11.1,0.200,0.171
1991-01-05,0.00,2.31,10.1,0.196,0.170
1991-01-06,0.00,2.08,8.6,0.190,0.169
1991-01-07,0.00,2.12,8.4,0.186,0.169
1991-01-08,0.00,2.13,8.7,0.182,0.168
1991-01-09,0.00,2.05,9.0,0.178,0.167
1991-01-10,0.00,2.13,9.5,0.175,0.167
1991-01-11,0.00,2.12,9.2,0.172,0.166
1991-01-12,0.00,2.31,8.7,0.169,0.165
1991-01-13,0.00,2.27,8.6,0.166,0.165
1991-01-14,0.00,2.04,7.3,0.164,0.164
1991-01-15,0.50,1.35,6.4,0.165,0.165
1991-01-16,0.00,2.02,7.3,0.166,0.164
1991-01-17,0.00,2.12,8.5,0.164,0.164
1991-01-18,0.00,2.26,10.1,0.161,0.163
1991-01-19,0.00,2.31,10.7,0.158,0.163
1991-01-20,0.00,2.19,11.2,0.156,0.162
1991-01-21,0.00,2.32,9.7,0.153,0.162
1991-01-22,0.00,1.94,8.2,0.152,0.161
1991-01-23,0.00,1.97,6.8,0.151,0.161
1991-01-24,0.00,1.43,7.4,0.153,0.161
1991-01-25,1.00,1.50,7.4,0.159,0.161
1991-01-26,0.00,2.15,6.7,0.170,0.162
1991-01-27,0.00,2.29,7.5,0.167,0.162
1991-01-28,0.00,2.19,8.7,0.164,0.161
